character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Elizabeth,20,20,0.4986904889554692,0.6915985431113106,0.1017929292929293,0.10474747474747474,F,major
Marianne,7,8,0.448452003076855,0.18097319754973762,0.0016835016835016832,0.0024242424242424242,F,major
Fanny Price,11,11,0.3643279451626066,0.25179641517773066,0.004671236171236171,0.013535353535353536,F,major
Sir Walter Elliot,4,4,0.3555537599655246,0.0416666666666666,0.006346801346801347,0.0398989898989899,M,intermediate
Jane Fairfax,5,5,0.27082720386671727,0.1086901453989706,0.0003493265993265993,0.0024242424242424242,F,intermediate
John Middleton,7,5,0.2476381461675577,0.0952380952380952,0.0025925925925925925,0.004242424242424242,M,intermediate
Catherine Morland,9,9,0.23526085986157286,0.24458178318657559,0.008872053872053871,0.009898989898989899,F,major
Edmund,10,9,0.2327248257322488,0.1418317145196018,0.002288119288119288,0.002525252525252525,M,major
Mrs. Dashwood,6,6,0.2306572599907409,0.09063194205885705,0.0032996632996632994,0.00797979797979798,F,intermediate
Henry Crawford,8,9,0.2009784007457066,0.21870306379124882,0.0014456469456469458,0.005858585858585858,M,major
General Tilney,2,1,0.1811002178649237,1.1102230246251566e-17,0.0,0.0,M,minor
Anne Elliot,10,13,0.1783198665946894,0.47456335073550787,0.07318181818181818,0.09242424242424242,F,major
Elinor,12,13,0.1733950451413137,0.30094026310122124,0.012205387205387207,0.01787878787878788,F,major
Mrs. Bennet,8,9,0.1672708346271956,0.2254474359816549,0.0038973063973063967,0.013131313131313131,F,major
Emma,12,11,0.15952245536125642,0.16984974546867104,0.005582732082732083,0.005353535353535353,F,major
Mary Musgrove,4,3,0.158119658119658,0.0189393939393939,0.007727272727272728,0.007474747474747474,F,intermediate
Mr. Elton,4,4,0.1470511272141706,0.09315134099616851,0.00022065897065897064,0.0007070707070707071,M,intermediate
Mr. Bennet,5,5,0.1447791361746304,0.025256501946113903,0.0053956228956228945,0.006464646464646465,M,intermediate
Edward Ferrars,3,3,0.1439789377289376,0.0641237745098039,0.0,0.0013131313131313131,M,intermediate
Mr. John Knightley,6,4,0.1433954933954932,0.049466294147145096,0.0006948051948051947,0.000505050505050505,M,intermediate
Mrs. Weston,5,5,0.140402834557246,0.043264657752663006,0.00029797979797979794,0.0,F,intermediate
Mr. Allen,2,2,0.134453781512605,0.0,0.0,0.0,M,minor
Mr Shepherd,2,1,0.1333333333333333,0.0096153846153846,0.0,0.0,M,minor
Sir Thomas,7,5,0.1293929757687863,0.1289920339720586,0.0008215488215488214,0.006060606060606061,M,intermediate
Mr. Knightley,5,7,0.1285143915225814,0.22513962510163552,0.0005002405002405003,0.006060606060606061,M,major
Tom Bertram,7,8,0.1117416804794083,0.2769435608251396,0.003274410774410775,0.0065656565656565654,M,intermediate
Henry Tilney,3,3,0.1050929919340626,0.09867192951920731,0.00013468013468013467,0.0019191919191919192,M,major
Mr. Frank Churchill,6,6,0.1045882724427359,0.26522067638240737,0.00044203944203944197,0.0017171717171717172,M,major
Lady Bertram,6,5,0.1039365184170618,0.1536061183732752,0.0002652717652717652,0.0013131313131313131,F,intermediate
Miss Bates,5,4,0.0993661773009598,0.07433175290318131,0.00015067340067340067,0.0022222222222222222,F,intermediate
Mrs. Jennings,7,9,0.0972861637922147,0.4049539819069687,0.0037037037037037034,0.002525252525252525,F,intermediate
Mr. Yates,1,1,0.0952380952380952,0.0161290322580645,0.0,0.0,M,minor
Mr. Bingley,4,4,0.0866020837669695,0.0562061631618081,0.0005892255892255892,0.00808080808080808,M,intermediate
Captain Wentworth,6,6,0.08322109988776641,0.0979776669650086,0.021986531986531988,0.025252525252525252,M,major
Mr. Darcy,4,4,0.0826585732557828,0.08474706563726099,0.007474747474747474,0.0077777777777777776,M,major
Mrs. Allen,3,4,0.0793182338137725,0.139526833460657,0.0005555555555555556,0.0012121212121212121,F,intermediate
Colonel Brandon,3,3,0.07931380993396489,0.09684785202026559,0.0,0.000505050505050505,M,intermediate
Charlotte Lucas,2,2,0.0785680845371856,0.0397435897435896,0.0,0.0,F,intermediate
Maria Bertram,4,6,0.0748431155407899,0.1279267773520646,0.0002760942760942761,0.0006060606060606061,F,intermediate
William Price,2,2,0.0666666666666666,0.05,0.0,0.0,M,minor
Lydia,4,3,0.0661791674307719,0.0944767441860465,2.5252525252525253e-05,0.0,F,intermediate
Mr. Gardiner,3,3,0.0638095238095237,0.0,5.0505050505050505e-05,0.0,M,minor
Mrs Croft,2,1,0.0636363636363636,0.0,0.0,0.0,,
Mr. Weston,5,5,0.0633906308337984,0.08355852901307428,0.00024591149591149587,0.0006060606060606061,M,intermediate
Mrs. Norris,7,8,0.063070109646773,0.14281440228146802,0.0050228475228475235,0.005555555555555556,F,intermediate
Mrs Musgrove,3,3,0.0606060606060606,0.0092592592592592,0.0027946127946127945,0.0,F,intermediate
Lady Catherine De Bourgh,2,2,0.0565068006928471,0.0391061452513966,0.0,0.0,F,intermediate
Maria,1,2,0.0516129032258064,0.0512820512820512,0.0,0.0,F,minor
Mrs. Hurst,1,1,0.0512820512820512,0.0,0.0,0.0,F,minor
Charles Musgrove,5,4,0.050189393939393895,0.1197069597069596,0.008030303030303028,0.014444444444444444,M,intermediate
Mrs. Rushworth,2,1,0.05,0.0,6.734006734006734e-05,0.0,F,minor
Mrs. Morland,1,2,0.0476190476190476,0.0,0.0011111111111111111,0.0011111111111111111,F,minor
Thomas,1,1,0.0457317073170731,0.0560344827586206,0.0,0.0,,
Mrs. Grant,3,3,0.0430906282553252,0.0270013468386191,0.00012626262626262626,0.0,F,intermediate
Mrs. Reynolds,2,3,0.0424710424710424,0.0238095238095238,0.0,0.0,F,minor
Mary Crawford,5,7,0.0397200336527207,0.0818536000448578,0.001311688311688312,0.0,F,major
Captain Harville,1,2,0.0387096774193548,0.0123076923076923,0.0,0.0,M,intermediate
Mr. Woodhouse,7,6,0.0376419601816982,0.053453875499983,0.0012227032227032227,0.0023232323232323234,M,intermediate
Miss Bingley,4,5,0.0372734188966171,0.0691108969147133,0.011111111111111112,0.011111111111111112,F,intermediate
Lucy Steele,3,2,0.0321787837219935,0.0394452863112457,0.0,0.0,F,intermediate
Colonel Fitzwilliam,1,1,0.031615120274914,0.0177777777777778,0.0,0.0,M,intermediate
William Walter Elliot,1,1,0.03125,0.0066445182724252,0.0,0.0,M,minor
Isabella Thorpe,4,5,0.031063704969417,0.0147875590113857,0.0034848484848484847,0.0031313131313131315,F,major
Mr. Willoughby,3,3,0.030144554044847244,0.1051984930274403,0.0,0.0,M,intermediate
_unknowable,1,0,0.0289855072463768,0.0,0.0,0.0,M,minor
Charlotte,3,3,0.0288602941176469,0.0253623188405796,0.0015656565656565658,0.0030303030303030303,F,intermediate
Anne Steele,3,3,0.0272233893557422,0.0364695340501791,0.00010101010101010101,0.0,F,intermediate
Lady Russell,2,1,0.0249999999999999,0.0555555555555555,0.0,0.0,F,minor
