a_category,b_category,mean_weight,count
intermediate,intermediate,0.00911825778118959,75
intermediate,major,0.015293107808994759,92
intermediate,minor,0.026585270954510576,21
intermediate,,0.0280172413793103,2
major,intermediate,0.01809028306387739,86
major,major,0.008955807634233912,31
major,minor,-0.0005693072978531276,18
major,,-0.0096296296296296,3
minor,intermediate,0.020856848110684417,22
minor,major,0.02424772176350014,23
minor,minor,0.014069264069264066,6
,intermediate,0.02286585365853655,2
,major,0.024085684430512,3
,,0.0,1
