a_gender,b_gender,mean_weight,count
F,F,0.014482646733360117,127
F,M,0.011299353861409055,97
F,,0.0135727969348659,2
M,F,0.019924027590119957,108
M,M,0.011574004639037754,42
M,,0.0,3
,F,0.027176198486122752,2
,M,0.0212121212121212,3
,,0.0,1
