character,community_id
Eleanor Tilney,0
Mrs. Morland,0
Catherine Morland,0
Henry Tilney,0
General Tilney,0
Isabella Thorpe,1
James Morland,1
John Thorpe,1
Frederick Tilney,1
Mr. Allen,2
Mrs. Allen,2
Mrs. Thorpe,2
