family,diff_F_minus_M,diff_M_minus_F,perm_p_two_sided
conjunctions,-0.007582962923936565,0.007582962923936565,0.8525737131434283
quantifiers,0.04948167301108478,-0.04948167301108478,0.29685157421289354
prepositions,-0.006216346737782173,0.006216346737782173,0.8075962018990505
impersonal_pronouns,-0.008051343060534257,0.008051343060534257,0.8140929535232384
articles,0.075423927548674,-0.075423927548674,0.022488755622188907
negations,0.056012604190353546,-0.056012604190353546,0.2888555722138931
auxiliary_verbs,0.006306686467690529,-0.006306686467690529,0.4172913543228386
personal_pronouns,-0.014686777488773279,0.014686777488773279,0.5077461269365318
adverbs,0.0073694067975113645,-0.0073694067975113645,0.6606696651674163
