family,F,M
quantifiers,0.14602720225002958,0.15331656020436585
negations,0.06983367278197733,0.05443294354165277
articles,0.03182529988538959,0.038125633939943546
impersonal_pronouns,0.027054051273046272,0.03102529345410746
conjunctions,0.010373650411341955,0.027566169947253125
prepositions,0.010124579488299628,0.014742739633171464
adverbs,0.005488049226549277,0.008814358024893379
auxiliary_verbs,0.001606167663041514,0.007441025502268433
personal_pronouns,0.0015785946372863105,0.00207165648841977
