family,major,intermediate,minor
quantifiers,0.10818477115133981,0.1703623517865004,0.4666666666666667
negations,0.04355812654780957,0.0768251307819258,0.12280219780219778
articles,0.034951701175392175,0.03292206746432459,0.0417989417989418
impersonal_pronouns,0.025072661542734603,0.02702544590431952,0.05279066171923315
conjunctions,0.009588769451906893,0.02136135179885611,0.028237734487734492
prepositions,0.005783193942151798,0.01222681850275841,0.03081918081918082
adverbs,0.005210362500331742,0.00701993309793579,0.01164736164736166
personal_pronouns,0.0010655802032812783,-0.0003443550849777892,0.012698412698412698
auxiliary_verbs,0.0030771027428954604,0.004546193386789431,0.003968253968253966
