family,Adjacent,Nonadjacent,Randomized
adverbs,0.006961825426805396,0.018762466803511575,-0.002507241608097239
articles,0.034814949515599034,0.009212936947311954,0.014211644499409096
auxiliary_verbs,0.0038631853882328923,0.0012281928742324802,-1.4579981836568188e-05
conjunctions,0.0168771785714219,0.019252079338286238,0.008650179410668826
impersonal_pronouns,0.03064123514832627,0.029034445313515074,0.005672423319215829
negations,0.06315628998316535,0.043747522318950884,0.06471521691939204
personal_pronouns,0.0017506232609292341,-0.0007886749266059592,0.0009929242792515174
prepositions,0.012019398725940886,0.015271258421943353,-4.4749989773261236e-05
quantifiers,0.14359014222999916,0.1364583333333333,0.1718849038856962
