a_category,b_category,mean_weight,count
intermediate,intermediate,0.006391176692697759,17
intermediate,major,0.002337052915118269,15
intermediate,minor,-0.007892182860523927,3
intermediate,none,-0.03125000000000001,1
major,intermediate,-0.009460084195967442,12
major,major,-0.0076638503476387475,2
major,minor,0.0,2
minor,intermediate,-0.005931495405179621,3
minor,major,0.0,1
none,intermediate,0.03676470588235294,1
