family,major,intermediate,minor
conjunctions,0.037760631499941175,0.004988766053231887,0.03205128205128204
prepositions,0.013037331738091193,-0.009223832993855867,0.04285714285714286
quantifiers,-0.01110463294569758,0.01118393664934249,0.04410256410256415
negations,0.010774934659374017,0.04704489502291044,-0.02179487179487178
articles,0.02205283831352744,0.009505358763492018,-0.0003418803418803212
adverbs,0.01491130539340371,0.006822911078194417,-0.000745920745920739
auxiliary_verbs,-0.0003500575596339726,0.008425530223130851,0.0
personal_pronouns,0.002476545464536071,-0.00168625492154903,0.0
impersonal_pronouns,0.03447241230353785,-0.0026099972104996158,-0.03333333333333332
