family,mean_conv,median_conv,n
negations,0.029552647292514528,0.0,57
conjunctions,0.019075722586194988,0.0,60
articles,0.0102573780065328,0.0,56
impersonal_pronouns,0.008449945683448758,0.0,58
quantifiers,0.006719764659821488,0.0,53
adverbs,0.005220960892014952,0.0,62
auxiliary_verbs,0.0047045706087612375,0.0,70
prepositions,0.0016108894877222147,0.0,62
personal_pronouns,-0.00022380785661889422,0.0,69
