family,mean,ci_lo,ci_hi,n
negations,0.029552647292514528,-0.00733764269553955,0.0699242379696556,57
conjunctions,0.019075722586194988,-0.0001637560932785669,0.03987666895317545,60
articles,0.0102573780065328,-0.025914805700531902,0.050035619480668016,56
impersonal_pronouns,0.008449945683448756,-0.015339035782651998,0.032623197681605556,58
quantifiers,0.006719764659821488,-0.03553571623453534,0.04719016148823869,53
adverbs,0.005220960892014952,-0.01421169346390796,0.02134548173299511,62
auxiliary_verbs,0.0047045706087612375,-0.0016902103744208914,0.017241917979312932,70
prepositions,0.0016108894877222145,-0.016298513735918157,0.020323977140871276,62
personal_pronouns,-0.00022380785661889425,-0.0023790570887927192,0.002015699968816589,69
