family,mean_conv,median_conv,n
negations,0.08815161080581534,0.04730135061017405,38
articles,0.041142964976745154,0.0,53
impersonal_pronouns,0.03129428527062482,0.0,55
prepositions,0.012219849936927157,0.0,65
conjunctions,0.010529539610796905,0.0,62
auxiliary_verbs,0.0021230309920227397,0.0,68
personal_pronouns,0.0005892201558605437,0.0,71
adverbs,-0.00254965781733452,0.0,61
