family,mean_conv,median_conv,n
impersonal_pronouns,0.0425932863535848,0.01175577036890905,240
articles,0.030726495821247615,0.0,237
quantifiers,0.027357156527324948,0.0,197
auxiliary_verbs,0.0168111485231136,0.0,284
personal_pronouns,0.01528734772766688,0.0,315
conjunctions,0.010815115490428046,0.0,218
negations,0.0075831097161169975,0.0,177
adverbs,0.007280614554743839,0.0,240
prepositions,0.007258445527329766,0.0,265
