a_category,major,intermediate,minor
major,0.02206706444857156,0.015458776696749837,0.00810216551258961
intermediate,0.01629930128568365,0.016884617051379495,-0.004030575905575902
minor,-0.0025335495401284875,0.03651175213675212,0.0
