a_category,b_category,mean_weight,count
intermediate,intermediate,0.016120369514083327,23
intermediate,major,0.01005857569857644,47
intermediate,minor,-3.0839528461809902e-18,4
intermediate,,-0.004574523294366786,7
major,intermediate,0.008748116428298874,42
major,major,0.019844205775058896,49
major,minor,0.004702609012953833,12
major,,0.002049414406509108,12
minor,intermediate,0.038888888888888876,4
minor,major,-0.016640790087965027,8
minor,,-0.0013020833333333495,4
,intermediate,0.0037717802760711774,9
,major,0.01799891215895405,10
,minor,-0.011805555555555576,4
,,-0.006229899477184351,2
