a_category,major,intermediate,minor
major,-3.1447350891700664e-05,0.04436148819221268,-0.0031044784841379575
intermediate,-0.00780627588049375,,-0.0289855072463768
minor,0.02458427506299845,0.06086687306501545,0.0
