family,mean_conv,median_conv,n
quantifiers,0.06241660300483828,0.0441176470588235,5
negations,0.04212806866499923,0.0,21
conjunctions,0.03962187905465217,0.0,35
articles,0.03081107982223602,0.0,37
auxiliary_verbs,0.013032499363381711,0.0,50
prepositions,0.01210004140347124,0.0,44
personal_pronouns,0.011246265172735762,0.0,50
impersonal_pronouns,0.010200926761029069,0.0,39
adverbs,0.004950148447808873,0.0,44
