character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Catherine Morland,9,9,0.23526085986157286,0.24458178318657559,0.6654040404040403,0.7424242424242424,F,major
General Tilney,2,1,0.1811002178649237,1.1102230246251566e-17,0.0,0.0,M,minor
Mr. Allen,2,2,0.134453781512605,0.0,0.0,0.0,M,minor
Henry Tilney,3,3,0.1050929919340626,0.09867192951920731,0.0101010101010101,0.14393939393939395,M,major
Mrs. Allen,3,4,0.0793182338137725,0.139526833460657,0.04166666666666667,0.09090909090909091,F,intermediate
Mrs. Morland,1,2,0.0476190476190476,0.0,0.08333333333333334,0.08333333333333334,F,minor
Isabella Thorpe,4,5,0.031063704969417,0.0147875590113857,0.26136363636363635,0.23484848484848486,F,major
Eleanor Tilney,2,3,0.0212603313289811,0.2450769818416877,0.003787878787878788,0.07575757575757576,F,intermediate
John Thorpe,3,2,0.019605142332415,0.031888735208237214,0.0,0.0,M,intermediate
James Morland,3,3,0.014652014652014616,0.08402293844367009,0.0101010101010101,0.0,M,minor
Frederick Tilney,1,1,0.0,0.0,0.0,0.0,F,minor
Mrs. Thorpe,2,1,0.0,0.0108695652173913,0.007575757575757576,0.0,F,minor
Sarah,1,0,0.0,0.0,0.0,0.0,F,minor
