family,diff_F_minus_M,diff_M_minus_F,perm_p_two_sided
negations,0.04730973581012404,-0.04730973581012404,0.2733633183408296
impersonal_pronouns,-0.01485731424483748,0.01485731424483748,0.5372313843078461
quantifiers,-0.005678370211526302,0.005678370211526302,0.8725637181409296
articles,0.035426976588678355,-0.035426976588678355,0.28235882058970513
adverbs,0.03249431760752061,-0.03249431760752061,0.1809095452273863
conjunctions,-0.01708796454548233,0.01708796454548233,0.4237881059470265
prepositions,0.010786302271987397,-0.010786302271987397,0.12543728135932034
auxiliary_verbs,0.003347879225084844,-0.003347879225084844,0.5037481259370314
personal_pronouns,0.004332509327535219,-0.004332509327535219,0.3363318340829585
