family,Adjacent,Nonadjacent,Randomized
adverbs,0.017769013446452247,0.04165026150320267,0.015705781755501504
articles,0.020753065490414703,-0.011282488555215823,-0.0018446295987751423
auxiliary_verbs,0.002419987793722188,-0.0017361111111111104,0.0011844839010010397
conjunctions,0.005898872198057959,-0.01959526959526959,-0.00520008560683688
impersonal_pronouns,0.03243889959576957,0.05493395493395492,-0.0011987143125842161
negations,0.05488013061787853,-0.016920792882331344,-0.0026479967857325334
personal_pronouns,0.002335821787485079,0.007246376811594202,0.0008620217735703472
prepositions,0.004821706786675653,-0.00018518518518518444,-0.0042273760246716524
quantifiers,0.022180948955052186,0.02634402634402634,-0.030951490819066743
