family,mean,ci_lo,ci_hi,n
negations,0.05488013061787854,0.017710061557583187,0.09505829280505108,58
impersonal_pronouns,0.03243889959576957,0.010924647243167647,0.05560094081749934,60
quantifiers,0.022180948955052182,-0.009649764971607225,0.053400066309145434,58
articles,0.0207530654904147,-0.009680662807651624,0.05106293531927535,64
adverbs,0.017769013446452247,-0.003655044934211368,0.03940146511496831,68
conjunctions,0.00589887219805796,-0.013466027279925468,0.02658287233434246,64
prepositions,0.004821706786675653,-0.0007780273198926024,0.01239375866797191,69
auxiliary_verbs,0.002419987793722188,-0.0002118587662424249,0.006744503949671602,73
personal_pronouns,0.0023358217874850794,-0.0006832816077538843,0.006808020822984171,72
