family,F,M
quantifiers,0.09047739308327186,0.02108957257111478
negations,0.05566197372895205,0.03608823918643141
impersonal_pronouns,-0.004609107626635814,0.024715509490875313
personal_pronouns,0.012996984204158929,-0.00732882426322681
prepositions,-0.0030227005032351434,0.006477622717483739
auxiliary_verbs,-0.0004210033246109861,0.0030351951587801003
articles,-0.019787746987013632,0.01317464253045669
conjunctions,0.0023854213638490706,-0.018682937599997517
adverbs,-0.024183083188143915,-0.03379697453176045
