a_category,b_category,mean_weight,count
intermediate,intermediate,0.0027543267763415454,54
intermediate,major,-4.7557877581677194e-05,81
intermediate,minor,-0.0026871728657043873,11
intermediate,none,-0.015625000000000003,2
major,intermediate,-0.0016164330427998078,75
major,major,-0.0020396499239620663,30
major,minor,0.0054501603127526015,15
major,none,0.013085676037483273,2
minor,intermediate,0.0015513953233251465,15
minor,major,-0.004871396635773159,19
minor,minor,0.0,4
none,intermediate,0.01838235294117647,2
none,major,-0.008762376237623772,2
