a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Anne Elliot,Mary,impersonal_pronouns,12,6,5,0.8333333333333334,0.8333333333333334,0.0,F,major,,
Anne Elliot,Mary,negations,12,6,4,0.6666666666666666,0.8333333333333334,-0.16666666666666674,F,major,,
Anne Elliot,Mary,personal_pronouns,12,12,12,1.0,1.0,0.0,F,major,,
Anne Elliot,Mary,prepositions,12,11,11,1.0,1.0,0.0,F,major,,
Anne Elliot,Mary,quantifiers,12,7,6,0.8571428571428571,0.9166666666666666,-0.059523809523809534,F,major,,
Anne Elliot,Mrs Smith,adverbs,32,23,23,1.0,0.96875,0.03125,F,major,F,intermediate
Anne Elliot,Mrs Smith,articles,32,18,17,0.9444444444444444,0.875,0.06944444444444442,F,major,F,intermediate
Anne Elliot,Mrs Smith,auxiliary_verbs,32,31,31,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mrs Smith,conjunctions,32,24,22,0.9166666666666666,0.90625,0.01041666666666663,F,major,F,intermediate
Anne Elliot,Mrs Smith,impersonal_pronouns,32,21,19,0.9047619047619048,0.78125,0.12351190476190477,F,major,F,intermediate
Anne Elliot,Mrs Smith,negations,32,21,17,0.8095238095238095,0.6875,0.12202380952380953,F,major,F,intermediate
Anne Elliot,Mrs Smith,personal_pronouns,32,31,31,1.0,1.0,0.0,F,major,F,intermediate
Anne Elliot,Mrs Smith,prepositions,32,29,25,0.8620689655172413,0.875,-0.012931034482758674,F,major,F,intermediate
Anne Elliot,Mrs Smith,quantifiers,32,19,16,0.8421052631578947,0.78125,0.06085526315789469,F,major,F,intermediate
Anne Elliot,Sir Walter Elliot,adverbs,8,5,2,0.4,0.5,-0.09999999999999998,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,articles,8,4,3,0.75,0.75,0.0,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,auxiliary_verbs,8,5,4,0.8,0.75,0.050000000000000044,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,conjunctions,8,4,4,1.0,0.875,0.125,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,impersonal_pronouns,8,3,3,1.0,0.75,0.25,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,negations,8,5,3,0.6,0.375,0.22499999999999998,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,personal_pronouns,8,5,4,0.8,0.75,0.050000000000000044,F,major,M,intermediate
Anne Elliot,Sir Walter Elliot,prepositions,8,6,5,0.8333333333333334,0.75,0.08333333333333337,F,major,M,intermediate
