family,mean_conv,median_conv,n
impersonal_pronouns,0.05394552150443978,0.0147783251231526,81
quantifiers,0.0257370136772959,0.0,66
conjunctions,0.02531353470312709,0.0,72
auxiliary_verbs,0.023425439822397594,0.0,100
adverbs,0.01526892661160906,0.0,80
personal_pronouns,0.015212658683000632,0.0,117
prepositions,0.00863679970521302,0.0,92
articles,0.007369530578965094,0.0,88
negations,0.005924652146342989,0.0,66
