family,adj_mean,adj_ci_lo,adj_ci_hi,non_mean,adj_minus_non_mean,adj_minus_non_p_t,adj_minus_non_ci_lo,adj_minus_non_ci_hi,test,rand_mean,adj_minus_rand_mean,adj_minus_rand_p_t,adj_minus_rand_ci_lo,adj_minus_rand_ci_hi
adverbs,0.01525811754769202,-0.0023683169259440156,0.03347806034634549,-0.01793154761904761,0.019759553541605444,0.5258108379787112,-0.038053643084315074,0.07870932371408904,paired_t_with_bootstrap_CI,0.008414605176603243,0.006843512371088777,0.6511546022874992,-0.020905348586409214,0.036816569371025044
articles,0.00479216463328782,-0.016370322789182955,0.024755307573381215,-0.00037037037037037556,0.017355049220735268,0.683451283822212,-0.06946327049162428,0.10308167258307632,paired_t_with_bootstrap_CI,-0.0026411369935735573,0.007433301626861378,0.5395862722221574,-0.016487962915279066,0.028663725999751897
auxiliary_verbs,0.011378226304530456,0.0007870969953505915,0.02194939339350346,-0.00916666666666666,0.011688150229039544,0.43828027822147486,-0.018022047839754415,0.04047620407343179,paired_t_with_bootstrap_CI,0.00371641361705257,0.007661812687477886,0.3855294950379128,-0.00954422749083267,0.02501355700155036
conjunctions,0.011224966083268213,-0.008209003276589837,0.031744870377116395,-0.024178004535147398,0.012794498088532367,0.6666338070942348,-0.04698590440572089,0.06843213270771505,paired_t_with_bootstrap_CI,0.009277097679889296,0.0019478684033789162,0.8875124473843219,-0.023321889629696814,0.03072322776855785
impersonal_pronouns,0.02820824095276743,0.009472385164534745,0.04724176565375057,-0.03664529914529913,0.04921513412009433,0.021306008422694783,0.011642728495546406,0.08499417813195681,paired_t_with_bootstrap_CI,0.005534708331123337,0.022673532621644087,0.07037406405960756,-0.001004810890602486,0.04796026380908288
negations,-0.00029645569483590777,-0.031841863225017655,0.02845453304179589,-0.028472222222222218,0.03948799216656358,0.4407501906883977,-0.03071531642960212,0.10959595959595955,paired_t_with_bootstrap_CI,-0.005606848776126826,0.0053103930812909185,0.8216548661293057,-0.042460262302722304,0.050663137965930784
personal_pronouns,0.004050660315076842,-0.0037044936116553727,0.012697508611146996,-0.0044372294372294315,0.004953101499085371,0.6169036796530923,-0.013093826247552526,0.023017370528459355,paired_t_with_bootstrap_CI,0.004308412719835237,-0.0002577524047583932,0.9671890019046798,-0.01225154826574075,0.011719248333990975
prepositions,0.007355692723073333,-0.007495084537117989,0.021468386233581386,-0.02177567177567177,0.027044512100294845,0.3397862208117034,-0.024255872616365092,0.07887938043199119,paired_t_with_bootstrap_CI,-0.005411818170551004,0.012767510893624335,0.22522187732828622,-0.007733607662896806,0.032878039612436
quantifiers,0.020221034808941944,-0.0067046235651559176,0.04958528923158622,-0.015158730158730168,0.02174985573371244,0.8001341622086888,-0.12937164003423401,0.1906866447096157,paired_t_with_bootstrap_CI,0.0036295689815981466,0.016591465827343794,0.3549833715637891,-0.01771579951293487,0.05161146267351324
