a_category,b_category,mean_weight,count
intermediate,major,-0.0028921691650180617,6
intermediate,minor,0.0,1
major,intermediate,0.006951299493597446,5
major,major,-0.00969785088949518,4
major,minor,0.0008438241196861832,6
minor,intermediate,-0.012195121951219514,4
minor,major,0.0103615520282187,6
