character,community_id
Evie,0
Mr. Wilcox,0
Henry,0
Paul,0
Mrs. Wilcox,0
Charles Wilcox,0
His Father'S Chauffeur,0
Dolly,0
Frieda,1
Helen,1
Fraulein Mosebach,1
Aunt Juley,1
Tibby,1
Jacky,2
Leonard,2
The Parlourmaid,2
Mr. Cunningham,2
Mrs. Bast,2
Tom,3
Miss Avery,3
A Young Man Low Down In The Education Office,3
Madge,3
Margaret,3
