a_category,b_category,mean_weight,count
intermediate,intermediate,0.027777777777777773,3
intermediate,major,0.028214243020621116,14
intermediate,minor,-0.06666666666666665,2
intermediate,,-0.07080200501253132,3
major,intermediate,0.015313955785930507,13
major,major,0.022790245793658206,16
major,minor,0.02979548005305582,11
major,,0.06201920103848142,11
minor,intermediate,0.0,2
minor,major,0.0001858211233211251,12
minor,,-0.0909090909090909,1
,intermediate,0.050345471521942096,3
,major,0.03719313154994687,8
,minor,0.125,1
,,0.0,1
