character,community_id
Isabella,0
Emma,0
Mr. Elton,0
Mr. John Knightley,0
Mrs. Weston,0
Harriet Smith,0
Jane Fairfax,1
Mr. Knightley,1
Miss Bates,1
Mrs. Elton,1
Mr. Weston,2
Mr. Frank Churchill,2
Mr. Woodhouse,2
