character,community_id
Mary Crawford,0
Mrs. Grant,0
Edmund,0
Maria Bertram,0
Tom Bertram,0
Henry Crawford,0
Julia Bertram,0
Mr. Yates,0
Mr. Rushworth,1
Sir Thomas,1
Mr. Price,1
Fanny Price,1
William Price,1
Lady Bertram,1
_unknowable,2
Mrs. Norris,2
Mrs. Rushworth,2
