a_category,b_category,mean_weight,count
intermediate,intermediate,-0.007349439775910363,14
intermediate,major,0.02900955949445835,11
intermediate,none,-0.015494308741188298,7
major,intermediate,0.02614909137572715,11
major,major,0.011019211440927136,6
major,minor,-0.0171455938697318,4
major,none,0.001864206249139993,6
minor,major,-0.04629629629629629,3
minor,none,0.03904671717171717,6
none,intermediate,0.01668823604689775,7
none,major,0.00037664664088148114,5
none,minor,0.020833333333333336,5
none,none,0.022872752602655543,2
