character,community_id
Lady Catherine De Bourgh,0
Lydia,0
Kitty,0
Maria,0
Mr. Collins,0
Mrs. Bennet,0
Jane,0
Mr. Bennet,0
George Wickham,1
Elizabeth,1
Charlotte Lucas,1
Mrs. Gardiner,1
Colonel Fitzwilliam,1
Mr. Gardiner,1
Mrs. Reynolds,1
Mary,1
Mr. Hurst,2
Mr. Bingley,2
Mrs. Hurst,2
Sir William Lucas,2
Mr. Darcy,2
Miss Bingley,2
