a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Marianne,Mrs. Jennings,1.0,3.0,2.0,0.3333333333333333,0.3333333333333333,F,major,F,intermediate
John Middleton,Elinor,5.0,4.0,17.0,0.15,0.1029411764705882,M,intermediate,F,major
Mrs. Dashwood,John Middleton,6.0,3.0,14.0,0.1111111111111111,0.0952380952380952,F,intermediate,M,intermediate
Edward Ferrars,Marianne,8.0,19.0,96.0,0.0875618189859676,0.0729166666666666,M,intermediate,F,major
Edward Ferrars,Elinor,8.0,15.0,91.0,0.0821955821955821,0.071062271062271,M,intermediate,F,major
Marianne,Mr. Willoughby,5.0,3.0,10.0,0.0666666666666666,0.0666666666666666,F,major,M,intermediate
John Middleton,Lady Middleton,4.0,3.0,10.0,0.0833333333333333,0.0666666666666666,M,intermediate,F,minor
John Middleton,Colonel Brandon,4.0,3.0,10.0,0.0833333333333333,0.0666666666666666,M,intermediate,M,intermediate
Colonel Brandon,Mrs. Jennings,7.0,9.0,45.0,0.0927437641723356,0.0641975308641975,M,intermediate,F,intermediate
Mrs. Dashwood,Thomas,6.0,8.0,29.0,0.1041666666666666,0.0560344827586206,F,intermediate,,
Mrs. Jennings,Marianne,8.0,7.0,46.0,0.0720238095238095,0.0559006211180124,F,intermediate,F,major
Thomas,Mrs. Dashwood,7.0,8.0,41.0,0.0835034013605442,0.0457317073170731,,,F,intermediate
Elinor,Mrs. Dashwood,8.0,20.0,120.0,0.0484805764411027,0.0420833333333333,F,major,F,intermediate
Marianne,Edward Ferrars,8.0,16.0,80.0,0.0437366452991453,0.0359375,F,major,M,intermediate
Elinor,John Dashwood,8.0,21.0,100.0,0.0623173701298701,0.029047619047619,F,major,M,intermediate
Mrs. Dashwood,Mr. Willoughby,6.0,6.0,24.0,0.075,0.0277777777777778,F,intermediate,M,intermediate
Mrs. Dashwood,Elinor,8.0,23.0,158.0,0.0269469447858194,0.0247660979636764,F,intermediate,F,major
Elinor,Lucy Steele,8.0,35.0,183.0,0.0210890151515151,0.0226385636221701,F,major,F,intermediate
Mr. Willoughby,Marianne,7.0,5.0,31.0,0.0214285714285714,0.0193548387096774,M,intermediate,F,major
Elinor,Marianne,9.0,64.0,377.0,0.044821199793684,0.0191064323607426,F,major,F,major
