pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions
Charlotte→Elinor,,,,0.0,0.0,,0.0,0.0
Colonel Brandon→Elinor,0.0558823529411764,0.1863636363636363,0.0,0.0611111111111111,-0.025,-0.1681818181818181,0.0,0.0058823529411765
Edward Ferrars→Elinor,0.1666666666666667,0.0999999999999999,-0.0095238095238096,0.109090909090909,,0.1999999999999999,-0.0095238095238096,-0.0102564102564102
Edward Ferrars→Marianne,0.0350877192982456,-0.043859649122807,0.0340557275541795,0.1491228070175438,,,0.0,0.2679425837320574
Elinor→Anne Steele,,,,,,,0.0,
Elinor→Colonel Brandon,-0.0293040293040292,,0.0,0.0,0.0317460317460317,,0.0,0.0178571428571429
Elinor→Edward Ferrars,-0.0147058823529411,-0.0647058823529411,-0.0078431372549019,0.0213903743315507,0.2117647058823529,,-0.0126050420168066,-0.0110294117647058
Elinor→John Dashwood,0.0327380952380952,-0.0389610389610388,0.0,0.0952380952380952,0.0476190476190476,,0.0,-0.0190476190476189
Elinor→Lucy Steele,0.0440476190476191,0.0410714285714285,0.0285714285714285,-0.0103896103896103,0.0357142857142857,-0.0142857142857142,0.0268398268398268,0.0171428571428571
Elinor→Marianne,-0.0256944444444444,0.0477678571428571,-0.0070754716981131,0.0462622549019607,0.0260416666666666,0.029017857142857,-0.0052083333333333,0.0266544117647058
Elinor→Mr. Willoughby,0.0446224256292905,-0.0263157894736842,-0.0098684210526315,0.0311890838206627,0.028130671506352,-0.0161943319838056,0.0,0.0192982456140351
Elinor→Mrs. Dashwood,0.0999999999999999,0.1333333333333334,-0.0026315789473684,-0.0428571428571429,0.05,0.0999999999999999,0.0,0.05
Elinor→Mrs. Jennings,-0.0279503105590062,0.020066889632107,0.0,-0.0838509316770186,0.0,,0.0,0.0281329923273657
Fanny→John Dashwood,-0.0166666666666666,,0.0,-0.0151515151515151,-0.0075757575757575,,0.0,-0.0075757575757575
John Dashwood→Elinor,-0.025062656641604,0.0317460317460317,0.0,0.0025062656641603,-0.0238095238095238,-0.0238095238095238,0.0,-0.0142857142857143
John Dashwood→Fanny,-0.0279720279720279,,0.0,-0.013986013986014,0.0769230769230768,,0.0,-0.0064102564102564
Lucy Steele→Elinor,0.0173611111111111,0.0511111111111111,-0.0055555555555555,0.0162835249042145,0.0347222222222222,-0.0253623188405797,-0.0032679738562091,0.0580808080808081
Marianne→Edward Ferrars,-0.0384615384615384,,0.0480769230769231,-0.0625,,,0.0,
Marianne→Elinor,0.0058823529411765,0.0142857142857142,0.0096018735362997,0.029100529100529,0.0349206349206349,-0.0168831168831168,0.0095238095238094,-0.0442577030812325
Marianne→Mrs. Dashwood,,,,0.0,0.0,,0.0,0.0
Mr. Willoughby→Elinor,0.0166666666666666,0.0185185185185184,0.0151515151515151,-0.0170250896057347,0.05,0.0277777777777777,0.0,-0.0130718954248366
Mrs. Dashwood→Elinor,0.0269151138716355,0.0971867007672634,-0.0019762845849802,0.0543478260869565,0.0269151138716355,0.0181159420289855,0.0,-0.0059288537549406
Mrs. Dashwood→Marianne,,,0.0,0.0,0.0,,0.0,0.0
Mrs. Jennings→Elinor,0.0137362637362636,0.0357142857142857,0.0,0.0292207792207792,-0.0119047619047619,0.0317460317460317,0.0,0.0683229813664596
