a_category,major,intermediate,minor
major,0.010596340748085513,0.013017537062634145,0.0025439049586776885
intermediate,0.009208340364461411,0.0032936956953884535,0.006683271683271684
minor,0.03456228378103377,-0.0028160597759989323,0.014194139194139189
