family,diff_F_minus_M,diff_M_minus_F,perm_p_two_sided
quantifiers,0.10138449862915724,-0.10138449862915724,0.7411294352823589
negations,-0.019369342949332527,0.019369342949332527,0.7661169415292354
impersonal_pronouns,-0.062074043365760556,0.062074043365760556,0.06646676661669165
articles,-0.12269469413842204,0.12269469413842204,0.038980509745127435
prepositions,-0.07877684963710824,0.07877684963710824,0.02498750624687656
conjunctions,-0.06364034699702718,0.06364034699702718,0.14942528735632185
auxiliary_verbs,-0.023818516005974594,0.023818516005974594,0.054972513743128434
personal_pronouns,-0.0019798495861828324,0.0019798495861828324,0.4027986006996502
adverbs,-0.0008918738713342886,0.0008918738713342886,0.9555222388805598
