a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Mr. Wilcox,Evie,adverbs,9,4,0,0.0,0.3333333333333333,-0.3333333333333333,M,major,F,intermediate
Mr. Wilcox,Evie,auxiliary_verbs,9,3,2,0.6666666666666666,0.5555555555555556,0.11111111111111105,M,major,F,intermediate
Mr. Wilcox,Evie,conjunctions,9,3,1,0.3333333333333333,0.4444444444444444,-0.1111111111111111,M,major,F,intermediate
Mr. Wilcox,Evie,impersonal_pronouns,9,6,2,0.3333333333333333,0.5555555555555556,-0.22222222222222227,M,major,F,intermediate
Mr. Wilcox,Evie,negations,9,4,2,0.5,0.2222222222222222,0.2777777777777778,M,major,F,intermediate
Mr. Wilcox,Evie,personal_pronouns,9,7,4,0.5714285714285714,0.4444444444444444,0.12698412698412698,M,major,F,intermediate
Mr. Wilcox,Evie,prepositions,9,5,1,0.2,0.2222222222222222,-0.0222222222222222,M,major,F,intermediate
Mr. Wilcox,Evie,quantifiers,9,4,0,0.0,0.2222222222222222,-0.2222222222222222,M,major,F,intermediate
Mr. Wilcox,Mrs. Wilcox,adverbs,4,4,1,0.25,0.25,0.0,M,major,F,intermediate
Mr. Wilcox,Mrs. Wilcox,impersonal_pronouns,4,3,1,0.3333333333333333,0.25,0.08333333333333331,M,major,F,intermediate
Mr. Wilcox,Mrs. Wilcox,personal_pronouns,4,4,3,0.75,0.75,0.0,M,major,F,intermediate
Mr. Wilcox,Mrs. Wilcox,prepositions,4,3,3,1.0,0.75,0.25,M,major,F,intermediate
Mrs. Bast,Leonard,adverbs,14,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,minor,M,major
Mrs. Bast,Leonard,auxiliary_verbs,14,8,4,0.5,0.5714285714285714,-0.0714285714285714,F,minor,M,major
Mrs. Bast,Leonard,conjunctions,14,5,3,0.6,0.2857142857142857,0.3142857142857143,F,minor,M,major
Mrs. Bast,Leonard,impersonal_pronouns,14,5,1,0.2,0.6428571428571429,-0.4428571428571429,F,minor,M,major
Mrs. Bast,Leonard,personal_pronouns,14,10,8,0.8,0.7857142857142857,0.014285714285714346,F,minor,M,major
Mrs. Bast,Leonard,quantifiers,14,3,0,0.0,0.42857142857142855,-0.42857142857142855,F,minor,M,major
Mrs. Wilcox,Margaret,adverbs,57,44,31,0.7045454545454546,0.7192982456140351,-0.014752791068580517,F,intermediate,F,major
Mrs. Wilcox,Margaret,articles,57,26,7,0.2692307692307692,0.43859649122807015,-0.16936572199730093,F,intermediate,F,major
Mrs. Wilcox,Margaret,auxiliary_verbs,57,41,26,0.6341463414634146,0.6842105263157895,-0.05006418485237485,F,intermediate,F,major
Mrs. Wilcox,Margaret,conjunctions,57,29,16,0.5517241379310345,0.6491228070175439,-0.0973986690865094,F,intermediate,F,major
Mrs. Wilcox,Margaret,impersonal_pronouns,57,35,19,0.5428571428571428,0.5789473684210527,-0.03609022556390984,F,intermediate,F,major
Mrs. Wilcox,Margaret,negations,57,21,3,0.14285714285714285,0.3157894736842105,-0.17293233082706766,F,intermediate,F,major
Mrs. Wilcox,Margaret,personal_pronouns,57,49,40,0.8163265306122449,0.8245614035087719,-0.008234872896527023,F,intermediate,F,major
Mrs. Wilcox,Margaret,prepositions,57,41,26,0.6341463414634146,0.631578947368421,0.0025673940949936247,F,intermediate,F,major
Mrs. Wilcox,Margaret,quantifiers,57,22,11,0.5,0.43859649122807015,0.06140350877192985,F,intermediate,F,major
Mrs. Wilcox,Mr. Wilcox,articles,4,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,intermediate,M,major
Mrs. Wilcox,Mr. Wilcox,conjunctions,4,3,2,0.6666666666666666,0.75,-0.08333333333333337,F,intermediate,M,major
Mrs. Wilcox,Mr. Wilcox,personal_pronouns,4,3,3,1.0,1.0,0.0,F,intermediate,M,major
Mrs. Wilcox,Mr. Wilcox,prepositions,4,3,2,0.6666666666666666,0.75,-0.08333333333333337,F,intermediate,M,major
Paul,Henry,adverbs,3,3,3,1.0,1.0,0.0,M,minor,,
