character,community_id
Mr. Weston,0
Mrs. Weston,0
Mrs. Elton,0
Emma,0
Mr. Elton,0
Isabella,1
Mr. Knightley,1
Mr. John Knightley,1
Mr. Woodhouse,1
Mr. Frank Churchill,2
Jane Fairfax,2
Miss Bates,2
Mrs. Ford,3
Harriet Smith,3
