character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Jane Fairfax,5,5,0.27082720386671727,0.1086901453989706,0.022168803418803416,0.15384615384615385,F,intermediate
Emma,12,11,0.15952245536125642,0.16984974546867104,0.3542887667887668,0.33974358974358976,F,major
Mr. Elton,4,4,0.1470511272141706,0.09315134099616851,0.014003357753357752,0.04487179487179487,M,intermediate
Mr. John Knightley,6,4,0.1433954933954932,0.049466294147145096,0.04409340659340659,0.03205128205128205,M,intermediate
Mrs. Weston,5,5,0.140402834557246,0.043264657752663006,0.01891025641025641,0.0,F,intermediate
Mr. Knightley,5,7,0.1285143915225814,0.22513962510163552,0.031746031746031744,0.3846153846153846,M,major
Mr. Frank Churchill,6,6,0.1045882724427359,0.26522067638240737,0.02805250305250305,0.10897435897435898,M,major
Miss Bates,5,4,0.0993661773009598,0.07433175290318131,0.009561965811965811,0.14102564102564102,F,intermediate
Mr. Weston,5,5,0.0633906308337984,0.08355852901307428,0.015605921855921854,0.038461538461538464,M,intermediate
Mr. Woodhouse,7,6,0.0376419601816982,0.053453875499983,0.07759462759462758,0.14743589743589744,M,intermediate
Mrs. Elton,5,6,0.0246691271548139,0.1588737184703978,0.028205128205128202,0.0,F,intermediate
Isabella,2,3,0.0104166666666666,0.0038819875776397,0.003205128205128205,0.0,F,intermediate
Harriet Smith,1,3,0.0074584717607973,0.0083624635469978,0.07692307692307693,0.07692307692307693,F,major
Mrs. Ford,1,0,0.0,0.0,0.0,0.0,F,minor
