family,adj_mean,adj_ci_lo,adj_ci_hi,non_mean,adj_minus_non_mean,adj_minus_non_p_t,adj_minus_non_ci_lo,adj_minus_non_ci_hi,test,rand_mean,adj_minus_rand_mean,adj_minus_rand_p_t,adj_minus_rand_ci_lo,adj_minus_rand_ci_hi
adverbs,0.014132889429312094,-0.01384019335351287,0.040732474281393614,0.08589766714766713,-0.097014505145416,0.018402124836566263,-0.16768738941842837,-0.025433057497668884,paired_t_with_bootstrap_CI,-0.009197515043464442,0.02333040447277653,0.2410809936303439,-0.013314708060872866,0.06008073515417986
articles,0.001418404040567142,-0.027675978151900437,0.031600113770015224,-0.060693241943241966,0.08950480437691964,0.1324075527977615,-0.011375462543096121,0.19334057145670178,paired_t_with_bootstrap_CI,-0.02242864216929533,0.02384704620986247,0.33643413501374575,-0.0202554706973611,0.07186238595016083
auxiliary_verbs,0.015250312732542334,-0.003921022264037256,0.0342362954509154,0.06445165945165941,-0.0660068205611551,0.03507251466571176,-0.12401330655178877,-0.013280903171946504,paired_t_with_bootstrap_CI,-0.0030504624173207217,0.01830077514986305,0.12428473464074856,-0.004217617518147587,0.04068883898540312
conjunctions,0.005654645772579461,-0.030035613379850116,0.0427890581868184,0.00281385281385281,-0.02985736073724724,0.5049976888537946,-0.10500986335338013,0.05506751463686987,paired_t_with_bootstrap_CI,0.0012283368475441564,0.004426308925035312,0.8772250837646287,-0.047584748450136105,0.0627924582224107
impersonal_pronouns,0.03586137160394618,0.003286830486315439,0.0660407084217742,0.0160665092483274,0.0287226922752755,0.46165895814080005,-0.03554287124229949,0.10293461936668466,paired_t_with_bootstrap_CI,-0.0010858054521979113,0.03694717705614409,0.1420850984709485,-0.010633050517005206,0.09257632903234926
negations,-0.003119683303459986,-0.04202343503077145,0.038671386154347384,0.12581469456469455,-0.1630447820835323,0.2722712569261053,-0.41527013318613726,0.04876222800833416,paired_t_with_bootstrap_CI,0.010421997983305571,-0.01354168128676555,0.6905784791218599,-0.0812085162959056,0.05251250735199732
personal_pronouns,0.010854364436606543,-0.0016014376224056152,0.024467953437597348,0.007407647907647919,0.0019865360683020273,0.927240838363685,-0.03898099751880848,0.04057501121848263,paired_t_with_bootstrap_CI,-0.010961708967801324,0.021816073404407867,0.028812284003718408,0.002848367421698879,0.04119957112635971
prepositions,0.016702169940259137,-0.005976527262467662,0.03942891734443624,0.01564517353991038,0.015556795946821037,0.6363895821469192,-0.04018724585116735,0.07864329841496046,paired_t_with_bootstrap_CI,-0.0009427719322613424,0.01764494187252047,0.3112896714085628,-0.016122473695248933,0.0480724809376682
quantifiers,0.013362952198605857,-0.03449394802494093,0.05946824185117257,0.028001443001442992,0.026843415294794826,0.591487612907208,-0.06925076719726576,0.12038163512609465,paired_t_with_bootstrap_CI,0.026086365481229667,-0.012723413282623811,0.6762825685159688,-0.06969281714265267,0.04493246336996333
