family,adj_mean,adj_ci_lo,adj_ci_hi,non_mean,adj_minus_non_mean,adj_minus_non_p_t,adj_minus_non_ci_lo,adj_minus_non_ci_hi,test,rand_mean,adj_minus_rand_mean,adj_minus_rand_p_t,adj_minus_rand_ci_lo,adj_minus_rand_ci_hi
adverbs,0.018393954904321146,0.0016665901859810174,0.034792749597675296,0.011776244588744593,0.009126275580732942,0.648169536620226,-0.02679370961410566,0.04106326820345723,paired_t_with_bootstrap_CI,-0.005086754956782947,0.023480709861104097,0.05998221806979312,0.0010237111801447924,0.047310321101204526
articles,0.01803100503448349,-0.011336695238739255,0.05277575014382646,0.005737433862433863,0.04333848722944278,0.2094681394330617,-0.016358588570574133,0.10251364790636179,paired_t_with_bootstrap_CI,-0.015337832688352562,0.03336883772283605,0.14119943147497174,-0.007811100623529826,0.07517148204036554
auxiliary_verbs,-0.0003490083796071327,-0.0019211103022211747,0.001750278409923819,-0.0007309941520467789,-0.002099223010912494,0.18390609486218143,-0.0050766485971277305,0.0008169934640522823,paired_t_with_bootstrap_CI,-0.0006097325039676235,0.00026072412436049076,0.8436369547120541,-0.001977567886658784,0.0030844155844155794
conjunctions,0.017008266206158862,-0.005568085521893299,0.04121441332825394,-0.03556354359925786,0.0521225143504491,0.01223531679408774,0.01844891337232922,0.08539463785060704,paired_t_with_bootstrap_CI,0.007757819089776303,0.009250447116382563,0.5384287714299891,-0.017577436514060775,0.03877650144307464
impersonal_pronouns,0.024748900745236085,0.006503569349923387,0.04636212851467102,0.009975749559082895,0.017121940448266666,0.567193586368383,-0.04168341994968905,0.06536382602641867,paired_t_with_bootstrap_CI,-0.0030340816494845387,0.02778298239472063,0.049780141984152294,0.0024647805967146406,0.05796762337096029
negations,0.0005421037355526583,-0.02756233408607829,0.03391074024646322,-0.039229024943310646,0.026585440771050645,0.43261247088459287,-0.042592194617450355,0.0792181383990002,paired_t_with_bootstrap_CI,-0.01805187944176385,0.018593983177316514,0.25425541650279504,-0.01061469587511253,0.05016681428139759
personal_pronouns,0.0004267592239701581,-0.0014645177732489256,0.0027896717709471096,-0.0014005602240896294,0.0037074614050779395,0.23018614107426008,-0.00127663186486714,0.01042914723688306,paired_t_with_bootstrap_CI,0.000890757977311411,-0.00046399875334125296,0.7520603957406178,-0.003527535416080302,0.0024545184224042302
prepositions,0.0024080694172422656,-0.008920200437593846,0.014468086213202615,-0.01862745098039215,0.024178786807870462,0.21412339878618644,-0.013873480469870539,0.05693213376297614,paired_t_with_bootstrap_CI,0.0038235430140884166,-0.0014154735968461508,0.8925324954033012,-0.02128088040771865,0.01895254629629628
quantifiers,-0.011383481126673662,-0.04647939134927515,0.01834120490589648,0.010879629629629628,-0.0014527668729054533,0.976107997517964,-0.08836367861139943,0.08879151229982427,paired_t_with_bootstrap_CI,0.00500850528016843,-0.016391986406842095,0.6201619506348741,-0.08934233605615186,0.038367063930731166
