character,community_id
Mlle. Blanche,0
Polina Alexandrovna,0
Alexis Ivanovitch,0
Mr. Astley,0
Martha,1
Potapitch,1
The Croupier,1
Antonida Vassilievna Tarassevitcha,1
The General,2
Marqis De Griers,2
