family,mean_p0,mean_p1,diff,ci_lo_p0,ci_hi_p0,ci_lo_p1,ci_hi_p1,n
impersonal_pronouns,0.5190887048967544,0.59066169149417,0.07157298659741562,0.4534563574913892,0.5846926221241403,0.4945030383554213,0.6857710594610893,23
quantifiers,0.35098637591573145,0.3969848407682632,0.04599846485253173,0.3110518487001318,0.3917066736887592,0.32357746342338584,0.4680816279679916,22
adverbs,0.6073869536036718,0.6469126865404997,0.03952573293682793,0.5560845202527092,0.6585444270126157,0.5715247616676481,0.7290228230223256,26
articles,0.49340457074401345,0.5222068302068302,0.02880225946281678,0.4031531946691079,0.5881852252061662,0.42962025012025007,0.6152149110149109,25
negations,0.3541771209797933,0.38053477740010244,0.026357656420309128,0.2997778312466597,0.4158085779708315,0.29300127665162495,0.48039369653823977,19
personal_pronouns,0.7773203841103916,0.7912000477353279,0.013879663624936311,0.7152473137747987,0.8377211005339275,0.724830600803025,0.8548368182763441,29
prepositions,0.6389885913143322,0.6432953127641498,0.004306721449817585,0.5562592277875449,0.7201994546419965,0.5504960192387572,0.7353082786741293,28
conjunctions,0.5143132484197024,0.5132080942282041,-0.0011051541914982588,0.44443989326145794,0.577667074481048,0.42497179629139265,0.5902510861657021,26
auxiliary_verbs,0.7433724590510968,0.7348756903142869,-0.008496768736809934,0.6812870963745576,0.8081065470545966,0.6673956222355345,0.8019625585129971,30
