a_gender,b_gender,mean_weight,count
F,F,0.009547298757536632,105
F,M,0.005344431737034949,79
F,,-0.02616716867469875,2
M,F,0.009726281327557436,90
M,M,-0.00019339703440061326,30
M,,-0.0083333333333333,2
,F,0.034277324791302646,2
,M,0.0233333333333333,2
