family,major,intermediate
quantifiers,0.1335808448308448,0.3221153846153845
negations,0.05268167785234942,0.026335258943954606
articles,0.03587449321645881,0.032452141896868056
impersonal_pronouns,0.030686940697636902,0.021067033567033554
adverbs,0.019249411320469912,-0.0018869836304046812
conjunctions,0.008653058226629796,0.00038069441791869704
auxiliary_verbs,-0.0024007701432563157,0.004497456775209983
personal_pronouns,-0.0001833707083034654,0.0020451561804945262
prepositions,0.013565206291599527,-0.017837954826168213
