a_category,b_category,mean_weight,count
intermediate,intermediate,0.01943345155684159,12
intermediate,major,-0.0051902246384089015,38
intermediate,minor,0.006515253339850106,8
major,intermediate,0.01071059721172186,36
major,major,0.000697669462916997,83
major,minor,0.00017735979907031763,12
minor,intermediate,-0.016680996472663145,9
minor,major,0.01816842669115397,11
minor,minor,0.008333333333333328,6
