family,F,M
impersonal_pronouns,0.017157446407998773,0.04151215181278006
adverbs,0.02120380778722303,0.013855595025498737
articles,0.019920299578689425,0.01106553093815427
auxiliary_verbs,0.02078638477720019,0.008490293394301698
negations,0.00842443504600774,0.013476417629620345
personal_pronouns,0.0159549334718619,-0.00043265967057564894
prepositions,0.013420549164435113,-0.0027487199096193466
conjunctions,-0.008222899134309822,0.013744561911253518
quantifiers,-0.011158358954975224,0.00021779722981625247
