family,mean_conv,median_conv,n
impersonal_pronouns,0.03494204523846697,0.0,215
adverbs,0.01585651681038141,0.0,213
articles,0.013268830177348463,0.0,213
negations,0.011907478939057425,0.0,161
auxiliary_verbs,0.011713059280948481,0.0,248
conjunctions,0.007296401703849352,0.0,201
personal_pronouns,0.0038449841276341525,0.0,272
prepositions,0.0015630851767951756,0.0,240
quantifiers,-0.0031201168603321445,0.0,167
