character,community_id
Miss Catherine Alan,0
Mr. Emerson,0
George Emerson,0
Mr. Beebe,0
Mr. Vyse,0
Freddy,0
Rev. Cuthbert Eager,1
Miss Lavish,1
Powell,1
Lucy,1
Miss Bartlett,1
Sir Harry Otway,2
Cecil,2
Mrs. Vyse,2
Mrs. Honeychurch,2
