a_category,b_category,mean_weight,count
intermediate,intermediate,-1.28058875875253e-18,4
intermediate,major,0.0054723001379220326,20
intermediate,minor,0.0,2
major,intermediate,-0.0028851531485994857,20
major,major,0.04340290477230337,4
major,minor,-0.00181451612903226,4
minor,intermediate,0.0,2
minor,major,0.007747747747747749,5
minor,minor,-0.025000000000000012,2
