character,community_id
Mr. Bennet,0
Maria,0
Charlotte Lucas,0
Kitty,0
Jane,0
Lydia,0
Mrs. Bennet,0
Mr. Collins,0
Mrs. Gardiner,1
Elizabeth,1
Lady Catherine De Bourgh,1
George Wickham,1
Mrs. Reynolds,1
Mr. Gardiner,1
Colonel Fitzwilliam,1
Mary,1
Mr. Hurst,2
Mr. Bingley,2
Miss Bingley,2
Mr. Darcy,2
Sir William Lucas,2
Mrs. Hurst,2
