character,community_id
Jane,0
Louisa Bounderby,0
Rachel Gradgrind,0
Stephen Blackpool,0
Josiah Bounderby,0
The Old Woman,0
Mrs. Gradgrind,0
Mr. E. W. B. Childers,1
Master Kidderminster,1
Thomas Gradgrind,1
Mr. Sleary,1
Cecilia Jupe,1
Young Thomas,2
Bitzer,2
Mr. James Harthouse,2
Mrs. Sparsit,2
