family,F,M
quantifiers,0.12186702500185419,0.0866895604395604
negations,0.04274912051879364,0.09762050266614161
articles,0.031503301907639975,0.0355275270606281
impersonal_pronouns,0.03515076436826081,0.02462051582544942
conjunctions,0.020353910567188847,0.035640597910085066
prepositions,0.015077820721968886,0.022527138716031674
adverbs,0.011673650175036103,0.023790415575417632
auxiliary_verbs,0.0014832173811522515,0.002622909175511916
personal_pronouns,-0.0011356366129386239,0.0009255316735494155
