character,community_id
Anne Elliot,0
Charles Musgrove,0
Admiral Croft,0
Lady Russell,0
Mary Musgrove,0
William Walter Elliot,0
Mary,0
Mrs Smith,0
Captain Harville,0
Sir Walter Elliot,1
Mr Shepherd,1
Mrs Clay,1
Elizabeth,1
Mrs Musgrove,2
Mrs Croft,2
Louisa Musgrove,2
Captain Wentworth,2
