character,community_id
Colonel Brandon,0
Mrs. Jennings,0
Lady Middleton,0
John Middleton,0
Anne Steele,0
Lucy Steele,0
Edward Ferrars,1
Mr. Willoughby,1
Thomas,1
Mrs. Dashwood,1
Mrs. Ferrars,1
Marianne,1
Mr. Palmer,2
Elinor,2
Margaret,2
Charlotte,2
Fanny,3
John Dashwood,3
